age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
millennial,yes,travel_rarely,sales,0.999- 2.0,2,life sciences,2,female,3,2,sales executive,4,single,5743.4- 9860.0,8,yes,10.999- 12.0,3,1,0,five_ten,0,1,five_ten,5-Mar,0-2,5-Mar
gen_x,no,travel_frequently,research & development,7.0- 14.0,1,life sciences,3,male,2,2,research scientist,2,married,4228.8- 5743.4,1,no,19.0- 25.0,4,4,1,five_ten,3,3,five_ten,10-Jun,0-2,10-Jun
millennial,yes,travel_rarely,research & development,0.999- 2.0,2,other,4,male,2,1,laboratory technician,3,single,1008.999- 2695.8,6,yes,13.0- 15.0,3,2,0,five_ten,3,3,first_job,0-2,0-2,0-2
millennial,no,travel_frequently,research & development,2.0- 7.0,4,life sciences,4,female,3,1,research scientist,3,married,2695.8- 4228.8,1,yes,10.999- 12.0,3,3,0,five_ten,3,3,five_ten,10-Jun,5-Mar,0-2
millennial,no,travel_rarely,research & development,0.999- 2.0,1,medical,1,male,3,1,laboratory technician,2,married,2695.8- 4228.8,9,no,10.999- 12.0,3,4,1,five_ten,3,3,first_job,0-2,0-2,0-2
millennial,no,travel_frequently,research & development,0.999- 2.0,2,life sciences,4,male,3,1,laboratory technician,4,single,2695.8- 4228.8,0,no,12.0- 13.0,3,3,0,five_ten,2,2,five_ten,10-Jun,5-Mar,10-Jun
boomer,no,travel_rarely,research & development,2.0- 7.0,3,medical,3,female,4,1,laboratory technician,1,married,1008.999- 2695.8,4,yes,19.0- 25.0,4,1,3,ten_twenty,3,2,first_job,0-2,0-2,0-2
millennial,no,travel_rarely,research & development,14.0- 29.0,1,life sciences,4,male,3,1,laboratory technician,3,divorced,1008.999- 2695.8,1,no,19.0- 25.0,4,2,1,first_job,2,3,first_job,0-2,0-2,0-2
millennial,no,travel_frequently,research & development,14.0- 29.0,3,life sciences,4,male,2,3,manufacturing director,3,single,5743.4- 9860.0,0,no,19.0- 25.0,4,2,0,five_ten,2,3,five_ten,10-Jun,0-2,10-Jun
millennial,no,travel_rarely,research & development,14.0- 29.0,3,medical,3,male,3,2,healthcare representative,3,married,4228.8- 5743.4,6,no,12.0- 13.0,3,2,2,ten_twenty,3,2,five_ten,10-Jun,10-Jun,10-Jun
millennial,no,travel_rarely,research & development,14.0- 29.0,3,medical,1,male,4,1,laboratory technician,2,married,1008.999- 2695.8,0,no,12.0- 13.0,3,3,1,five_ten,5,3,early_career,5-Mar,0-2,5-Mar
millennial,no,travel_rarely,research & development,14.0- 29.0,2,life sciences,4,female,2,2,laboratory technician,3,single,2695.8- 4228.8,0,yes,10.999- 12.0,3,4,0,five_ten,3,3,five_ten,5-Mar,0-2,10-Jun
millennial,no,travel_rarely,research & development,14.0- 29.0,1,life sciences,1,male,3,1,research scientist,3,divorced,2695.8- 4228.8,1,no,15.0- 19.0,3,4,1,early_career,1,2,early_career,0-2,5-Mar,5-Mar
millennial,no,travel_rarely,research & development,14.0- 29.0,2,medical,2,male,3,1,laboratory technician,4,divorced,1008.999- 2695.8,0,no,10.999- 12.0,3,3,1,early_career,2,3,first_job,0-2,0-2,0-2
millennial,yes,travel_rarely,research & development,14.0- 29.0,3,life sciences,3,male,2,1,laboratory technician,3,single,1008.999- 2695.8,5,yes,13.0- 15.0,3,2,0,five_ten,4,3,early_career,0-2,0-2,5-Mar
millennial,no,travel_rarely,research & development,14.0- 29.0,4,life sciences,2,female,4,3,manufacturing director,1,divorced,9860.0- 19999.0,1,no,10.999- 12.0,3,3,1,five_ten,1,3,five_ten,10-Jun,10-Jun,10-Jun
millennial,no,travel_rarely,research & development,2.0- 7.0,2,life sciences,1,male,4,1,research scientist,2,divorced,2695.8- 4228.8,0,yes,10.999- 12.0,3,4,2,five_ten,5,2,five_ten,0-2,0-2,5-Mar
gen_z,no,non-travel,research & development,14.0- 29.0,2,medical,4,male,4,1,laboratory technician,4,divorced,2695.8- 4228.8,1,yes,12.0- 13.0,3,2,2,first_job,2,2,first_job,0-2,0-2,0-2
gen_x,no,travel_rarely,sales,0.999- 2.0,4,life sciences,1,female,2,4,manager,4,married,9860.0- 19999.0,2,no,15.0- 19.0,3,3,0,twenty_forty,3,3,twenty_forty,10-Jun,5-Mar,10-Jun
millennial,no,travel_rarely,research & development,0.999- 2.0,3,life sciences,4,male,3,1,research scientist,4,single,2695.8- 4228.8,5,yes,10.999- 12.0,3,3,0,five_ten,3,3,early_career,0-2,0-2,0-2
gen_z,no,non-travel,research & development,7.0- 14.0,2,other,1,female,4,2,manufacturing director,3,divorced,2695.8- 4228.8,0,no,15.0- 19.0,3,4,1,early_career,5,2,early_career,0-2,0-2,5-Mar
millennial,yes,travel_rarely,sales,7.0- 14.0,4,life sciences,3,male,2,1,sales representative,1,single,2695.8- 4228.8,7,no,19.0- 25.0,4,2,0,five_ten,4,3,early_career,5-Mar,0-2,5-Mar
