age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
millennial,yes,travel_rarely,sales,"(0.999, 2.0]",2.0,life sciences,2.0,female,3.0,2.0,sales executive,4.0,single,"(5743.4, 9860.0]",8.0,yes,"(10.999, 12.0]",3.0,1.0,0.0,five_ten,0.0,1.0,five_ten,3-5,0-2,3-5
gen_x,no,travel_frequently,research & development,"(7.0, 14.0]",1.0,life sciences,3.0,male,2.0,2.0,research scientist,2.0,married,"(4228.8, 5743.4]",1.0,no,"(19.0, 25.0]",4.0,4.0,1.0,five_ten,3.0,3.0,five_ten,6-10,0-2,6-10
millennial,yes,travel_rarely,research & development,"(0.999, 2.0]",2.0,other,4.0,male,2.0,1.0,laboratory technician,3.0,single,"(1008.999, 2695.8]",6.0,yes,"(13.0, 15.0]",3.0,2.0,0.0,five_ten,3.0,3.0,first_job,0-2,0-2,0-2
millennial,no,travel_frequently,research & development,"(2.0, 7.0]",4.0,life sciences,4.0,female,3.0,1.0,research scientist,3.0,married,"(2695.8, 4228.8]",1.0,yes,"(10.999, 12.0]",3.0,3.0,0.0,five_ten,3.0,3.0,five_ten,6-10,3-5,0-2
millennial,no,travel_rarely,research & development,"(0.999, 2.0]",1.0,medical,1.0,male,3.0,1.0,laboratory technician,2.0,married,"(2695.8, 4228.8]",9.0,no,"(10.999, 12.0]",3.0,4.0,1.0,five_ten,3.0,3.0,first_job,0-2,0-2,0-2
millennial,no,travel_frequently,research & development,"(0.999, 2.0]",2.0,life sciences,4.0,male,3.0,1.0,laboratory technician,4.0,single,"(2695.8, 4228.8]",0.0,no,"(12.0, 13.0]",3.0,3.0,0.0,five_ten,2.0,2.0,five_ten,6-10,3-5,6-10
boomer,no,travel_rarely,research & development,"(2.0, 7.0]",3.0,medical,3.0,female,4.0,1.0,laboratory technician,1.0,married,"(1008.999, 2695.8]",4.0,yes,"(19.0, 25.0]",4.0,1.0,3.0,ten_twenty,3.0,2.0,first_job,0-2,0-2,0-2
millennial,no,travel_rarely,research & development,"(14.0, 29.0]",1.0,life sciences,4.0,male,3.0,1.0,laboratory technician,3.0,divorced,"(1008.999, 2695.8]",1.0,no,"(19.0, 25.0]",4.0,2.0,1.0,first_job,2.0,3.0,first_job,0-2,0-2,0-2
millennial,no,travel_frequently,research & development,"(14.0, 29.0]",3.0,life sciences,4.0,male,2.0,3.0,manufacturing director,3.0,single,"(5743.4, 9860.0]",0.0,no,"(19.0, 25.0]",4.0,2.0,0.0,five_ten,2.0,3.0,five_ten,6-10,0-2,6-10
millennial,no,travel_rarely,research & development,"(14.0, 29.0]",3.0,medical,3.0,male,3.0,2.0,healthcare representative,3.0,married,"(4228.8, 5743.4]",6.0,no,"(12.0, 13.0]",3.0,2.0,2.0,ten_twenty,3.0,2.0,five_ten,6-10,6-10,6-10
