age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
41,1,travel_rarely,sales,1,2,life sciences,2,female,3,2,sales executive,4,single,5993,8,yes,11,3,1,0,8,0,1,6,4,0,5
49,0,travel_frequently,research & development,8,1,life sciences,3,male,2,2,research scientist,2,married,5130,1,no,23,4,4,1,10,3,3,10,7,1,7
37,1,travel_rarely,research & development,2,2,other,4,male,2,1,laboratory technician,3,single,2090,6,yes,15,3,2,0,7,3,3,0,0,0,0
33,0,travel_frequently,research & development,3,4,life sciences,4,female,3,1,research scientist,3,married,2909,1,yes,11,3,3,0,8,3,3,8,7,3,0
27,0,travel_rarely,research & development,2,1,medical,1,male,3,1,laboratory technician,2,married,3468,9,no,12,3,4,1,6,3,3,2,2,2,2
32,0,travel_frequently,research & development,2,2,life sciences,4,male,3,1,laboratory technician,4,single,3068,0,no,13,3,3,0,8,2,2,7,7,3,6
59,0,travel_rarely,research & development,3,3,medical,3,female,4,1,laboratory technician,1,married,2670,4,yes,20,4,1,3,12,3,2,1,0,0,0
30,0,travel_rarely,research & development,24,1,life sciences,4,male,3,1,laboratory technician,3,divorced,2693,1,no,22,4,2,1,1,2,3,1,0,0,0
38,0,travel_frequently,research & development,23,3,life sciences,4,male,2,3,manufacturing director,3,single,9526,0,no,21,4,2,0,10,2,3,9,7,1,8
36,0,travel_rarely,research & development,27,3,medical,3,male,3,2,healthcare representative,3,married,5237,6,no,13,3,2,2,17,3,2,7,7,7,7
35,0,travel_rarely,research & development,16,3,medical,1,male,4,1,laboratory technician,2,married,2426,0,no,13,3,3,1,6,5,3,5,4,0,3
29,0,travel_rarely,research & development,15,2,life sciences,4,female,2,2,laboratory technician,3,single,4193,0,yes,12,3,4,0,10,3,3,9,5,0,8
31,0,travel_rarely,research & development,26,1,life sciences,1,male,3,1,research scientist,3,divorced,2911,1,no,17,3,4,1,5,1,2,5,2,4,3
34,0,travel_rarely,research & development,19,2,medical,2,male,3,1,laboratory technician,4,divorced,2661,0,no,11,3,3,1,3,2,3,2,2,1,2
28,1,travel_rarely,research & development,24,3,life sciences,3,male,2,1,laboratory technician,3,single,2028,5,yes,14,3,2,0,6,4,3,4,2,0,3
29,0,travel_rarely,research & development,21,4,life sciences,2,female,4,3,manufacturing director,1,divorced,9980,1,no,11,3,3,1,10,1,3,10,9,8,8
32,0,travel_rarely,research & development,5,2,life sciences,1,male,4,1,research scientist,2,divorced,3298,0,yes,12,3,4,2,7,5,2,6,2,0,5
22,0,non-travel,research & development,16,2,medical,4,male,4,1,laboratory technician,4,divorced,2935,1,yes,13,3,2,2,1,2,2,1,0,0,0
53,0,travel_rarely,sales,2,4,life sciences,1,female,2,4,manager,4,married,15427,2,no,16,3,3,0,31,3,3,25,8,3,7
38,0,travel_rarely,research & development,2,3,life sciences,4,male,3,1,research scientist,4,single,3944,5,yes,11,3,3,0,6,3,3,3,2,1,2
24,0,non-travel,research & development,11,2,other,1,female,4,2,manufacturing director,3,divorced,4011,0,no,18,3,4,1,5,5,2,4,2,1,3
36,1,travel_rarely,sales,9,4,life sciences,3,male,2,1,sales representative,1,single,3407,7,no,23,4,2,0,10,4,3,5,3,0,3
34,0,travel_rarely,research & development,7,4,life sciences,1,female,3,3,research director,2,single,11994,0,no,11,3,3,0,13,4,3,12,6,2,11
21,0,travel_rarely,research & development,15,2,life sciences,3,male,3,1,research scientist,4,single,1232,1,no,14,3,4,0,0,6,3,0,0,0,0
34,1,travel_rarely,research & development,6,1,medical,2,male,3,1,research scientist,1,single,2960,2,no,11,3,3,0,8,2,3,4,2,1,3
53,0,travel_rarely,research & development,5,3,other,3,female,3,5,manager,3,divorced,19094,4,no,11,3,4,1,26,3,2,14,13,4,8
32,1,travel_frequently,research & development,16,1,life sciences,2,female,1,1,research scientist,1,single,3919,1,yes,22,4,2,0,10,5,3,10,2,6,7
42,0,travel_rarely,sales,8,4,marketing,3,male,3,2,sales executive,2,married,6825,0,no,11,3,4,1,10,2,3,9,7,4,2
44,0,travel_rarely,research & development,7,4,medical,1,female,2,3,healthcare representative,4,married,10248,3,no,14,3,4,1,24,4,3,22,6,5,17
46,0,travel_rarely,sales,2,4,marketing,2,female,3,5,manager,1,single,18947,3,no,12,3,4,0,22,2,2,2,2,2,1
33,0,travel_rarely,research & development,2,3,medical,3,male,3,1,laboratory technician,4,single,2496,4,no,11,3,4,0,7,3,3,1,1,0,0
44,0,travel_rarely,research & development,10,4,other,4,male,3,2,healthcare representative,4,married,6465,2,yes,13,3,4,0,9,5,4,4,2,1,3
30,0,travel_rarely,research & development,9,2,medical,4,male,2,1,laboratory technician,3,single,2206,1,no,13,3,1,0,10,5,3,10,0,1,8
39,1,travel_rarely,sales,5,3,technical degree,4,male,3,2,sales representative,4,married,2086,3,no,14,3,3,1,19,6,4,1,0,0,0
24,1,travel_rarely,research & development,1,3,medical,2,male,3,1,research scientist,4,married,2293,2,yes,16,3,1,1,6,2,2,2,0,2,0
43,0,travel_rarely,research & development,2,2,medical,4,female,4,1,research scientist,3,divorced,2645,1,no,12,3,4,2,6,3,2,5,3,1,4
50,1,travel_rarely,sales,3,2,marketing,1,male,2,1,sales representative,3,married,2683,1,yes,14,3,3,0,3,2,3,3,2,0,2
35,0,travel_rarely,sales,2,3,marketing,4,female,3,1,sales representative,4,married,2014,1,no,13,3,1,0,2,3,3,2,2,2,2
36,0,travel_rarely,research & development,5,4,life sciences,2,female,2,1,research scientist,1,married,3419,9,yes,14,3,4,1,6,3,4,1,1,0,0
33,0,travel_frequently,sales,1,3,life sciences,3,female,4,2,sales executive,1,married,5376,2,no,19,3,1,2,10,3,3,5,3,1,3
35,0,travel_rarely,research & development,4,2,other,3,male,3,1,laboratory technician,4,divorced,1951,1,no,12,3,3,1,1,3,3,1,0,0,0
27,0,travel_rarely,research & development,2,4,life sciences,4,female,3,1,laboratory technician,1,divorced,2341,1,no,13,3,4,1,1,6,3,1,0,0,0
26,1,travel_rarely,research & development,25,3,life sciences,1,male,1,1,laboratory technician,3,single,2293,1,no,12,3,3,0,1,2,2,1,0,0,1
27,0,travel_frequently,sales,8,3,life sciences,4,male,3,3,sales executive,3,single,8726,1,no,15,3,4,0,9,0,3,9,8,1,7
30,0,travel_frequently,research & development,1,2,medical,3,female,3,2,laboratory technician,4,single,4011,1,no,23,4,4,0,12,2,3,12,8,3,7
41,1,travel_rarely,research & development,12,3,technical degree,2,female,3,5,research director,3,married,19545,1,no,12,3,4,0,23,0,3,22,15,15,8
34,0,non-travel,sales,23,4,marketing,2,male,3,2,sales executive,3,single,4568,0,no,20,4,3,0,10,2,3,9,5,8,7
