age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
41,yes,travel_rarely,1102,sales,1,2,life sciences,2,female,94,3,2,sales executive,4,single,5993,19479,8,yes,11,3,1,0,8,0,1,6,4,0,5
49,no,travel_frequently,279,research & development,8,1,life sciences,3,male,61,2,2,research scientist,2,married,5130,24907,1,no,23,4,4,1,10,3,3,10,7,1,7
37,yes,travel_rarely,1373,research & development,2,2,other,4,male,92,2,1,laboratory technician,3,single,2090,2396,6,yes,15,3,2,0,7,3,3,0,0,0,0
33,no,travel_frequently,1392,research & development,3,4,life sciences,4,female,56,3,1,research scientist,3,married,2909,23159,1,yes,11,3,3,0,8,3,3,8,7,3,0
27,no,travel_rarely,591,research & development,2,1,medical,1,male,40,3,1,laboratory technician,2,married,3468,16632,9,no,12,3,4,1,6,3,3,2,2,2,2
32,no,travel_frequently,1005,research & development,2,2,life sciences,4,male,79,3,1,laboratory technician,4,single,3068,11864,0,no,13,3,3,0,8,2,2,7,7,3,6
59,no,travel_rarely,1324,research & development,3,3,medical,3,female,81,4,1,laboratory technician,1,married,2670,9964,4,yes,20,4,1,3,12,3,2,1,0,0,0
30,no,travel_rarely,1358,research & development,24,1,life sciences,4,male,67,3,1,laboratory technician,3,divorced,2693,13335,1,no,22,4,2,1,1,2,3,1,0,0,0
38,no,travel_frequently,216,research & development,23,3,life sciences,4,male,44,2,3,manufacturing director,3,single,9526,8787,0,no,21,4,2,0,10,2,3,9,7,1,8
36,no,travel_rarely,1299,research & development,27,3,medical,3,male,94,3,2,healthcare representative,3,married,5237,16577,6,no,13,3,2,2,17,3,2,7,7,7,7
35,no,travel_rarely,809,research & development,16,3,medical,1,male,84,4,1,laboratory technician,2,married,2426,16479,0,no,13,3,3,1,6,5,3,5,4,0,3
29,no,travel_rarely,153,research & development,15,2,life sciences,4,female,49,2,2,laboratory technician,3,single,4193,12682,0,yes,12,3,4,0,10,3,3,9,5,0,8
31,no,travel_rarely,670,research & development,26,1,life sciences,1,male,31,3,1,research scientist,3,divorced,2911,15170,1,no,17,3,4,1,5,1,2,5,2,4,3
34,no,travel_rarely,1346,research & development,19,2,medical,2,male,93,3,1,laboratory technician,4,divorced,2661,8758,0,no,11,3,3,1,3,2,3,2,2,1,2
28,yes,travel_rarely,103,research & development,24,3,life sciences,3,male,50,2,1,laboratory technician,3,single,2028,12947,5,yes,14,3,2,0,6,4,3,4,2,0,3
29,no,travel_rarely,1389,research & development,21,4,life sciences,2,female,51,4,3,manufacturing director,1,divorced,9980,10195,1,no,11,3,3,1,10,1,3,10,9,8,8
32,no,travel_rarely,334,research & development,5,2,life sciences,1,male,80,4,1,research scientist,2,divorced,3298,15053,0,yes,12,3,4,2,7,5,2,6,2,0,5
