,age,attrition,businesstravel,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,salaryquartile,worklesstwoyears,newatcompany,highriskjob,youngsingleoverworked,stay_prob
0,41,1,travel_rarely,sales,1,2,life sciences,2,female,3,2,sales executive,4,single,5993,8,yes,11,3,1,0,8,0,1,6,4,0,5,4,0,0,0,2,0.06983828525508859
2,37,1,travel_rarely,research & development,2,2,other,4,male,2,1,laboratory technician,3,single,2090,6,yes,15,3,2,0,7,3,3,0,0,0,0,1,0,1,1,2,0.060515153456637
3,33,0,travel_frequently,research & development,3,4,life sciences,4,female,3,1,research scientist,3,married,2909,1,yes,11,3,3,0,8,3,3,8,7,3,0,2,0,0,0,2,0.7414753476439061
4,27,0,travel_rarely,research & development,2,1,medical,1,male,3,1,laboratory technician,2,married,3468,9,no,12,3,4,1,6,3,3,2,2,2,2,2,0,0,1,0,0.634259825967136
5,32,0,travel_frequently,research & development,2,2,life sciences,4,male,3,1,laboratory technician,4,single,3068,0,no,13,3,3,0,8,2,2,7,7,3,6,2,0,0,1,2,0.9166656605135449
7,30,0,travel_rarely,research & development,24,1,life sciences,4,male,3,1,laboratory technician,3,divorced,2693,1,no,22,4,2,1,1,2,3,1,0,0,0,1,1,1,1,0,0.809222700049456
8,38,0,travel_frequently,research & development,23,3,life sciences,4,male,2,3,manufacturing director,3,single,9526,0,no,21,4,2,0,10,2,3,9,7,1,8,4,0,0,0,2,0.9800199733965517
9,36,0,travel_rarely,research & development,27,3,medical,3,male,3,2,healthcare representative,3,married,5237,6,no,13,3,2,2,17,3,2,7,7,7,7,3,0,0,0,0,0.9829966250259715
10,35,0,travel_rarely,research & development,16,3,medical,1,male,4,1,laboratory technician,2,married,2426,0,no,13,3,3,1,6,5,3,5,4,0,3,1,0,0,1,0,0.9875656400506645
11,29,0,travel_rarely,research & development,15,2,life sciences,4,female,2,2,laboratory technician,3,single,4193,0,yes,12,3,4,0,10,3,3,9,5,0,8,2,0,0,1,2,0.7936669020700948
12,31,0,travel_rarely,research & development,26,1,life sciences,1,male,3,1,research scientist,3,divorced,2911,1,no,17,3,4,1,5,1,2,5,2,4,3,2,0,0,0,0,0.7659654182104044
13,34,0,travel_rarely,research & development,19,2,medical,2,male,3,1,laboratory technician,4,divorced,2661,0,no,11,3,3,1,3,2,3,2,2,1,2,1,0,0,1,0,0.980471361632263
14,28,1,travel_rarely,research & development,24,3,life sciences,3,male,2,1,laboratory technician,3,single,2028,5,yes,14,3,2,0,6,4,3,4,2,0,3,1,0,0,1,2,0.012017969547607388
15,29,0,travel_rarely,research & development,21,4,life sciences,2,female,4,3,manufacturing director,1,divorced,9980,1,no,11,3,3,1,10,1,3,10,9,8,8,5,0,0,0,0,0.9761382776149862
16,32,0,travel_rarely,research & development,5,2,life sciences,1,male,4,1,research scientist,2,divorced,3298,0,yes,12,3,4,2,7,5,2,6,2,0,5,2,0,0,0,1,0.9895377261834007
17,22,0,non-travel,research & development,16,2,medical,4,male,4,1,laboratory technician,4,divorced,2935,1,yes,13,3,2,2,1,2,2,1,0,0,0,2,1,1,1,2,0.8458465429078823
19,38,0,travel_rarely,research & development,2,3,life sciences,4,male,3,1,research scientist,4,single,3944,5,yes,11,3,3,0,6,3,3,3,2,1,2,2,0,0,0,2,0.8205997958901003
20,24,0,non-travel,research & development,11,2,other,1,female,4,2,manufacturing director,3,divorced,4011,0,no,18,3,4,1,5,5,2,4,2,1,3,2,0,0,0,1,0.9975899755514155
21,36,1,travel_rarely,sales,9,4,life sciences,3,male,2,1,sales representative,1,single,3407,7,no,23,4,2,0,10,4,3,5,3,0,3,2,0,0,1,1,0.27200461112546914
22,34,0,travel_rarely,research & development,7,4,life sciences,1,female,3,3,research director,2,single,11994,0,no,11,3,3,0,13,4,3,12,6,2,11,5,0,0,0,1,0.9845320850851039
23,21,0,travel_rarely,research & development,15,2,life sciences,3,male,3,1,research scientist,4,single,1232,1,no,14,3,4,0,0,6,3,0,0,0,0,1,1,1,0,1,0.8648702968568467
24,34,1,travel_rarely,research & development,6,1,medical,2,male,3,1,research scientist,1,single,2960,2,no,11,3,3,0,8,2,3,4,2,1,3,2,0,0,0,1,0.8492103006884466
26,32,1,travel_frequently,research & development,16,1,life sciences,2,female,1,1,research scientist,1,single,3919,1,yes,22,4,2,0,10,5,3,10,2,6,7,2,0,0,0,3,0.013357873840172315
30,33,0,travel_rarely,research & development,2,3,medical,3,male,3,1,laboratory technician,4,single,2496,4,no,11,3,4,0,7,3,3,1,1,0,0,1,0,1,1,1,0.938514474192673
32,30,0,travel_rarely,research & development,9,2,medical,4,male,2,1,laboratory technician,3,single,2206,1,no,13,3,1,0,10,5,3,10,0,1,8,1,0,0,1,1,0.8127368276569368
33,39,1,travel_rarely,sales,5,3,technical degree,4,male,3,2,sales representative,4,married,2086,3,no,14,3,3,1,19,6,4,1,0,0,0,1,0,1,1,0,0.9994979055098412
34,24,1,travel_rarely,research & development,1,3,medical,2,male,3,1,research scientist,4,married,2293,2,yes,16,3,1,1,6,2,2,2,0,2,0,1,0,0,0,1,0.18486140671944612
37,35,0,travel_rarely,sales,2,3,marketing,4,female,3,1,sales representative,4,married,2014,1,no,13,3,1,0,2,3,3,2,2,2,2,1,0,0,1,0,0.947506618341168
38,36,0,travel_rarely,research & development,5,4,life sciences,2,female,2,1,research scientist,1,married,3419,9,yes,14,3,4,1,6,3,4,1,1,0,0,2,0,1,0,1,0.17961992460879292
39,33,0,travel_frequently,sales,1,3,life sciences,3,female,4,2,sales executive,1,married,5376,2,no,19,3,1,2,10,3,3,5,3,1,3,3,0,0,0,1,0.9008266415218014
40,35,0,travel_rarely,research & development,4,2,other,3,male,3,1,laboratory technician,4,divorced,1951,1,no,12,3,3,1,1,3,3,1,0,0,0,1,1,1,1,0,0.9649224497793707
41,27,0,travel_rarely,research & development,2,4,life sciences,4,female,3,1,laboratory technician,1,divorced,2341,1,no,13,3,4,1,1,6,3,1,0,0,0,1,1,1,1,0,0.9400841188031299
42,26,1,travel_rarely,research & development,25,3,life sciences,1,male,1,1,laboratory technician,3,single,2293,1,no,12,3,3,0,1,2,2,1,0,0,1,1,1,1,1,1,0.0031601650674085934
43,27,0,travel_frequently,sales,8,3,life sciences,4,male,3,3,sales executive,3,single,8726,1,no,15,3,4,0,9,0,3,9,8,1,7,4,0,0,0,2,0.8591020918994013
44,30,0,travel_frequently,research & development,1,2,medical,3,female,3,2,laboratory technician,4,single,4011,1,no,23,4,4,0,12,2,3,12,8,3,7,2,0,0,1,2,0.9854467548869091
45,41,1,travel_rarely,research & development,12,3,technical degree,2,female,3,5,research director,3,married,19545,1,no,12,3,4,0,23,0,3,22,15,15,8,5,0,0,0,0,0.8719786713814124
46,34,0,non-travel,sales,23,4,marketing,2,male,3,2,sales executive,3,single,4568,0,no,20,4,3,0,10,2,3,9,5,8,7,3,0,0,0,2,0.8762725141905466
47,37,0,travel_rarely,research & development,19,2,life sciences,2,male,3,1,research scientist,2,married,3022,4,no,21,4,1,0,8,1,3,1,0,0,0,2,0,1,0,0,0.5456309928921462
49,35,0,travel_rarely,research & development,8,1,life sciences,4,male,4,1,laboratory technician,4,married,2269,1,no,19,3,4,0,1,2,3,1,0,0,1,1,1,1,1,0,0.9787388277861855
51,28,1,travel_rarely,research & development,5,4,technical degree,3,male,3,1,laboratory technician,3,single,3441,1,yes,13,3,3,0,2,3,2,2,2,2,2,2,0,0,1,2,0.156479287933208
53,35,0,non-travel,research & development,11,2,medical,3,male,2,3,healthcare representative,1,married,9884,2,yes,13,3,3,1,10,3,3,4,0,2,3,5,0,0,0,2,0.9253240481644098
54,26,0,travel_rarely,sales,23,3,marketing,3,female,2,2,sales executive,4,married,4157,7,yes,19,3,3,1,5,2,2,2,2,0,0,2,0,0,0,1,0.042333890084881545
55,33,0,travel_frequently,research & development,1,2,life sciences,1,female,3,3,research director,4,single,13458,1,yes,12,3,3,0,15,1,3,15,14,8,12,5,0,0,0,3,0.49238703493693176
56,35,0,travel_frequently,sales,18,5,life sciences,2,male,3,3,sales executive,1,married,9069,1,no,22,4,4,1,9,3,2,9,8,1,8,4,0,0,0,1,0.9328077664913523
57,35,0,travel_rarely,research & development,23,4,medical,3,female,3,1,laboratory technician,1,married,4014,3,yes,15,3,3,1,4,3,3,2,2,2,2,2,0,0,1,1,0.3257447141406382
58,31,0,travel_rarely,research & development,7,4,life sciences,4,male,3,2,laboratory technician,4,divorced,5915,3,no,22,4,4,1,10,3,2,7,7,1,7,4,0,0,1,0,0.9994108724266494
59,37,0,travel_rarely,research & development,1,4,life sciences,1,male,2,2,manufacturing director,3,divorced,5993,1,no,18,3,3,1,7,2,4,7,5,0,7,4,0,0,0,0,0.9967076646644927
60,32,0,travel_rarely,research & development,1,3,medical,1,male,3,2,manufacturing director,4,married,6162,1,yes,22,4,2,1,9,3,3,9,8,7,8,4,0,0,0,1,0.9832555782845142
61,38,0,travel_frequently,research & development,29,5,life sciences,4,female,3,2,laboratory technician,4,single,2406,1,no,11,3,4,0,10,2,3,10,3,9,9,1,0,0,1,2,0.8506715853220129
64,36,0,travel_rarely,research & development,8,3,technical degree,3,female,3,3,healthcare representative,3,divorced,10096,1,no,13,3,2,3,17,2,3,17,14,12,8,5,0,0,0,0,0.9982774477086168
66,36,0,travel_frequently,research & development,11,3,life sciences,2,male,2,2,manufacturing director,2,single,6499,1,no,13,3,3,0,6,3,3,6,5,0,3,4,0,0,0,2,0.8252447533928952
68,35,0,travel_frequently,research & development,1,3,medical,2,male,3,1,research scientist,1,married,2194,4,no,13,3,4,1,5,2,2,3,2,1,2,1,0,0,0,1,0.8257893968332676
69,36,1,travel_rarely,research & development,9,3,medical,4,male,2,1,research scientist,3,married,3388,0,yes,17,3,1,1,2,0,2,1,0,0,0,2,0,1,0,1,0.2702241949024504
71,29,0,travel_rarely,research & development,2,3,life sciences,3,male,3,1,research scientist,2,married,2703,0,no,23,4,4,1,6,3,3,5,4,0,4,2,0,0,0,0,0.9977913401165839
72,31,0,travel_rarely,research & development,1,4,medical,3,male,3,1,research scientist,2,single,2501,1,no,17,3,2,0,1,4,3,1,1,1,0,1,1,1,0,1,0.47917731629088856
73,32,0,travel_rarely,research & development,1,3,life sciences,2,male,3,2,research scientist,2,married,6220,1,no,17,3,2,2,10,3,3,10,4,0,9,4,0,0,0,0,0.996038527028971
74,36,0,travel_rarely,research & development,6,3,life sciences,2,female,4,1,laboratory technician,4,married,3038,3,no,12,3,2,0,5,3,3,1,0,0,0,2,0,1,1,0,0.9427546830929625
75,31,0,travel_rarely,research & development,8,4,life sciences,3,female,3,2,manufacturing director,4,single,4424,1,no,23,4,4,0,11,2,3,11,7,1,8,3,0,0,0,1,0.9991972738796484
76,35,0,travel_rarely,sales,1,4,marketing,3,male,2,2,sales executive,1,single,4312,0,no,14,3,2,0,16,2,3,15,13,2,8,3,0,0,0,1,0.7374194988151678
78,37,0,travel_rarely,research & development,7,4,medical,1,male,3,3,research director,3,single,13664,4,no,13,3,1,0,16,3,4,5,2,0,2,5,0,0,0,1,0.8689895797180571
80,30,0,travel_rarely,research & development,1,1,life sciences,4,male,2,2,laboratory technician,4,married,5126,1,yes,12,3,3,2,10,1,2,10,8,3,0,3,0,0,1,1,0.7693170329863157
81,35,0,travel_rarely,research & development,1,3,medical,2,male,2,1,research scientist,3,single,2859,1,no,18,3,1,0,6,3,3,6,4,0,4,2,0,0,0,1,0.7057354612344807
83,38,0,non-travel,research & development,6,3,medical,2,female,1,2,research scientist,4,divorced,5329,7,yes,12,3,4,3,17,3,3,13,11,1,9,3,0,0,0,2,0.9970437114189731
